LegRaiseCrunch, 0, 11, 12-08-2022
MachineChestPress, 180, 12, 12-09-2022
MachineChestPress, 180, 12, 12-09-2022
MachineChestPress, 180, 11, 12-09-2022
MachineChestPress, 180, 12, 12-09-2022
DumbbellChestPressIncline, 60, 12, 12-09-2022
DumbbellChestPressIncline, 60, 12, 12-09-2022
DumbbellChestPressIncline, 60, 12, 12-09-2022
DumbbellChestPressIncline, 60, 12, 12-09-2022
PectoralFly, 160, 12, 12-09-2022
PectoralFly, 170, 12, 12-09-2022
PectoralFly, 170, 12, 12-09-2022
Dip, 0, 8, 12-09-2022
Dip, 0, 8, 12-09-2022
Dip, 0, 8, 12-09-2022
DumbbellShoulderPress, 55, 11, 12-09-2022
DumbbellShoulderPress, 50, 12, 12-09-2022
DumbbellShoulderPress, 50, 12, 12-09-2022
LateralRaise, 25, 11, 12-09-2022
LateralRaise, 25, 10, 12-09-2022
LateralRaise, 25, 10, 12-09-2022
